source	line	text
docs\standards\global\std-global-code-cleanup.md	32	 never introduce regressions.
docs\standards\global\std-global-code-cleanup.md	33	- Prefer automated formatting and linting fixes as separate commits so behavioural changes remain easy to
docs\standards\global\std-global-code-cleanup.md	35	- Use repository utilities for repetitive edits (for example shared library helpers) to avoid diverging
docs\standards\global\std-global-markdown-authoring.md	32	- Ensure every substantive document includes at least one `##` subsection so the doc index can surface a meaningful table of contents.
docs\standards\global\std-global-markdown-authoring.md	33	- Use descriptive, unique headings; when cloning a template, immediately rename sections to avoid duplicate slugs across the repository.
docs\standards\global\std-global-markdown-authoring.md	44	- Use `owner` to capture the accountable team or alias (for example, `repo_studios_ai`).
docs\standards\global\std-global-markdown-authoring.md	50	- Ensure each file has only one top-level heading and organize subsections using `##`/`###` tiers for predictable anchors.
docs\standards\global\std-global-markdown-authoring.md	52	- Prefer descriptive link text and repository-relative URLs to avoid rot when mirrors or forks consume the documentation.
docs\standards\global\std-global-monkey-patching.md	22	- Avoid patching Python builtins (`len`, `open`, `list`, etc.) outside of tightly scoped, clearly documented tests.
docs\standards\global\std-global-monkey-patching.md	28	- Prefer dependency injection, protocol adapters, or feature flags before reaching for monkey patches; treat
docs\standards\global\std-global-monkey-patching.md	38	- Use `pytest` fixtures to apply patches; avoid global state changes in module import time.
docs\standards\global\std-global-monkey-patching.md	39	- Ensure teardown phases restore original objects even when tests error; include `addfinalizer` hooks for
docs\standards\global\std-global-monkey-patching.md	44	- Never ship monkey patches in production code paths without explicit sign-off from the service owner.
docs\standards\global\std-global-monkey-patching.md	45	- Document any runtime patching (for example hotfix scripts) in the service runbook along with rollback
docs\standards\global\std-global-python-engineering.md	22	- Prefer specific exception types (`ValueError`, `KeyError`, etc.) over bare `except:` clauses to avoid masking unexpected faults.
docs\standards\global\std-global-python-engineering.md	24	- Use `try` blocks narrowly and confine remediation logic to the smallest scope that meaningfully handles the error.
docs\standards\global\std-global-python-engineering.md	29	- Ensure log messages include actionable fields such as correlation IDs, user identifiers, or feature flags when applicable.
docs\standards\global\std-global-python-engineering.md	38	- Use fixtures to manage shared setup and prefer factory helpers over ad-hoc object construction in tests.
docs\standards\global\std-global-python-engineering.md	42	- Pin dependencies in `requirements.txt` or `pyproject.toml` and document rationale for each addition in the
docs\standards\global\std-global-python-engineering.md	44	- Avoid transitive imports from application entry points; import only what you use to keep import graphs
docs\standards\project\std-project-operating-standard.md	27	- Document every new automation target or script addition in the repository Makefile and supporting docs to keep contributors informed.
docs\standards\project\std-project-python-instructions.md	21	- Use the repository-managed virtual environment (`.venv/`) for local development and testing. Regenerate it after any dependency change.
docs\standards\project\std-project-python-instructions.md	22	- Pin new dependencies in `requirements.txt` or supporting lockfiles and document the reasoning in pull requests.
docs\standards\project\std-project-python-instructions.md	28	- Ensure each doc adheres to the global markdown authoring standard: include front matter with `owner`, `tags`, and `status`, provide a single H1 with a descriptive summary paragraph, and add meaningful H2 sections for navigability.
