slug	count	file_count	files	locations
anchor-health-cross-link	3	3	.repo_studios/docs/standards/global/std-global-chainlit-ui.md,.repo_studios/docs/standards/global/std-global-code-cleanup.md,.repo_studios/docs/standards/global/std-global-html-coding.md	.repo_studios/docs/standards/global/std-global-chainlit-ui.md:197;.repo_studios/docs/standards/global/std-global-code-cleanup.md:133;.repo_studios/docs/standards/global/std-global-html-coding.md:156
anti-patterns-to-avoid	3	3	.repo_studios/docs/standards/global/std-global-html-coding.md,.repo_studios/docs/standards/global/std-global-markdown-authoring.md,.repo_studios/docs/standards/global/std-global-python-engineering.md	.repo_studios/docs/standards/global/std-global-html-coding.md:88;.repo_studios/docs/standards/global/std-global-markdown-authoring.md:89;.repo_studios/docs/standards/global/std-global-python-engineering.md:256
current-state	3	3	.repo_studios/docs/automation/traceability/analyze_monkey_patch_trends_modernization_plan.md,.repo_studios/docs/automation/traceability/generate_churn_complexity_heatmap_modernization_plan.md,.repo_studios/docs/automation/traceability/run_batch_cleanup_modernization_plan.md	.repo_studios/docs/automation/traceability/analyze_monkey_patch_trends_modernization_plan.md:9;.repo_studios/docs/automation/traceability/generate_churn_complexity_heatmap_modernization_plan.md:7;.repo_studios/docs/automation/traceability/run_batch_cleanup_modernization_plan.md:14
implementation-steps	3	3	.repo_studios/docs/automation/traceability/analyze_monkey_patch_trends_modernization_plan.md,.repo_studios/docs/automation/traceability/generate_churn_complexity_heatmap_modernization_plan.md,.repo_studios/docs/automation/traceability/run_batch_cleanup_modernization_plan.md	.repo_studios/docs/automation/traceability/analyze_monkey_patch_trends_modernization_plan.md:27;.repo_studios/docs/automation/traceability/generate_churn_complexity_heatmap_modernization_plan.md:26;.repo_studios/docs/automation/traceability/run_batch_cleanup_modernization_plan.md:40
objective	3	3	.repo_studios/docs/automation/traceability/analyze_monkey_patch_trends_modernization_plan.md,.repo_studios/docs/automation/traceability/generate_churn_complexity_heatmap_modernization_plan.md,.repo_studios/docs/automation/traceability/run_batch_cleanup_modernization_plan.md	.repo_studios/docs/automation/traceability/analyze_monkey_patch_trends_modernization_plan.md:5;.repo_studios/docs/automation/traceability/generate_churn_complexity_heatmap_modernization_plan.md:3;.repo_studios/docs/automation/traceability/run_batch_cleanup_modernization_plan.md:10
open-questions	3	3	.repo_studios/docs/automation/traceability/analyze_monkey_patch_trends_modernization_plan.md,.repo_studios/docs/automation/traceability/generate_churn_complexity_heatmap_modernization_plan.md,.repo_studios/docs/automation/traceability/run_batch_cleanup_modernization_plan.md	.repo_studios/docs/automation/traceability/analyze_monkey_patch_trends_modernization_plan.md:76;.repo_studios/docs/automation/traceability/generate_churn_complexity_heatmap_modernization_plan.md:74;.repo_studios/docs/automation/traceability/run_batch_cleanup_modernization_plan.md:76
quick-checklists	3	3	.repo_studios/docs/standards/global/std-global-html-coding.md,.repo_studios/docs/standards/global/std-global-monkey-patching.md,.repo_studios/docs/standards/global/std-global-prompt-engineering.md	.repo_studios/docs/standards/global/std-global-html-coding.md:104;.repo_studios/docs/standards/global/std-global-monkey-patching.md:146;.repo_studios/docs/standards/global/std-global-prompt-engineering.md:101
target-architecture	3	3	.repo_studios/docs/automation/traceability/analyze_monkey_patch_trends_modernization_plan.md,.repo_studios/docs/automation/traceability/generate_churn_complexity_heatmap_modernization_plan.md,.repo_studios/docs/automation/traceability/run_batch_cleanup_modernization_plan.md	.repo_studios/docs/automation/traceability/analyze_monkey_patch_trends_modernization_plan.md:16;.repo_studios/docs/automation/traceability/generate_churn_complexity_heatmap_modernization_plan.md:15;.repo_studios/docs/automation/traceability/run_batch_cleanup_modernization_plan.md:27
acceptance-criteria	2	2	.repo_studios/docs/automation/traceability/analyze_monkey_patch_trends_modernization_plan.md,.repo_studios/docs/automation/traceability/run_batch_cleanup_modernization_plan.md	.repo_studios/docs/automation/traceability/analyze_monkey_patch_trends_modernization_plan.md:68;.repo_studios/docs/automation/traceability/run_batch_cleanup_modernization_plan.md:68
anti-patterns	2	2	.repo_studios/docs/standards/global/std-global-monkey-patching.md,.repo_studios/docs/standards/global/std-global-prompt-engineering.md	.repo_studios/docs/standards/global/std-global-monkey-patching.md:137;.repo_studios/docs/standards/global/std-global-prompt-engineering.md:119
authoring-guidelines	2	2	.repo_studios/docs/standards/global/README.md,.repo_studios/docs/standards/project/README.md	.repo_studios/docs/standards/global/README.md:22;.repo_studios/docs/standards/project/README.md:25
change-history	2	2	.repo_studios/docs/standards/global/std-global-html-coding.md,.repo_studios/docs/standards/global/std-global-prompt-engineering.md	.repo_studios/docs/standards/global/std-global-html-coding.md:151;.repo_studios/docs/standards/global/std-global-prompt-engineering.md:185
decisions-captured	2	2	.repo_studios/docs/automation/function_inventory_integration_plan.md,.repo_studios/docs/templates/integration_alignment_template.md	.repo_studios/docs/automation/function_inventory_integration_plan.md:128;.repo_studios/docs/templates/integration_alignment_template.md:97
dependencies-coordination	2	2	.repo_studios/docs/automation/traceability/analyze_monkey_patch_trends_modernization_plan.md,.repo_studios/docs/automation/traceability/run_batch_cleanup_modernization_plan.md	.repo_studios/docs/automation/traceability/analyze_monkey_patch_trends_modernization_plan.md:62;.repo_studios/docs/automation/traceability/run_batch_cleanup_modernization_plan.md:62
future-enhancements	2	2	.repo_studios/docs/automation/function_analysis_guide.md,.repo_studios/docs/automation/standards-extraction-spec.md	.repo_studios/docs/automation/function_analysis_guide.md:91;.repo_studios/docs/automation/standards-extraction-spec.md:167
goals	2	2	.repo_studios/docs/automation/ci_metrics_checks.md,.repo_studios/docs/automation/standards-extraction-spec.md	.repo_studios/docs/automation/ci_metrics_checks.md:7;.repo_studios/docs/automation/standards-extraction-spec.md:27
integration-notes	2	2	.repo_studios/docs/automation/extract_standards_rules.md,.repo_studios/docs/automation/verify_docs_integrity.md	.repo_studios/docs/automation/extract_standards_rules.md:92;.repo_studios/docs/automation/verify_docs_integrity.md:54
migration-notes	2	2	.repo_studios/docs/standards/global/README.md,.repo_studios/docs/standards/project/README.md	.repo_studios/docs/standards/global/README.md:28;.repo_studios/docs/standards/project/README.md:31
next-actions	2	2	.repo_studios/docs/automation/ci_metrics_checks.md,.repo_studios/docs/automation/traceability/aggregator_dependency_audit.md	.repo_studios/docs/automation/ci_metrics_checks.md:43;.repo_studios/docs/automation/traceability/aggregator_dependency_audit.md:28
notes	2	2	.repo_studios/docs/automation/orchestrator_automation_hooks.md,.repo_studios/docs/templates/structural_checklist_template.md	.repo_studios/docs/automation/orchestrator_automation_hooks.md:14;.repo_studios/docs/templates/structural_checklist_template.md:26
outstanding-considerations	2	2	.repo_studios/docs/automation/function_inventory_integration_plan.md,.repo_studios/docs/templates/integration_alignment_template.md	.repo_studios/docs/automation/function_inventory_integration_plan.md:141;.repo_studios/docs/templates/integration_alignment_template.md:106
overview	2	2	.repo_studios/docs/automation/traceability/producer_consumer_traceability_audit.md,.repo_studios/docs/automation/verify_docs_integrity.md	.repo_studios/docs/automation/traceability/producer_consumer_traceability_audit.md:6;.repo_studios/docs/automation/verify_docs_integrity.md:3
phase-1-foundation-inventory	2	2	.repo_studios/docs/repo_studios_build_plan.md,.repo_studios/docs/templates/structural_checklist_template.md	.repo_studios/docs/repo_studios_build_plan.md:19;.repo_studios/docs/templates/structural_checklist_template.md:10
phase-2-migration-normalization	2	2	.repo_studios/docs/repo_studios_build_plan.md,.repo_studios/docs/templates/structural_checklist_template.md	.repo_studios/docs/repo_studios_build_plan.md:35;.repo_studios/docs/templates/structural_checklist_template.md:16
phase-3-automation-quality-gates	2	2	.repo_studios/docs/repo_studios_build_plan.md,.repo_studios/docs/templates/structural_checklist_template.md	.repo_studios/docs/repo_studios_build_plan.md:49;.repo_studios/docs/templates/structural_checklist_template.md:21
script-inventory-template	2	2	.repo_studios/docs/templates/script_inventory.md,.repo_studios/docs/templates/script_inventory_template.md	.repo_studios/docs/templates/script_inventory.md:1;.repo_studios/docs/templates/script_inventory_template.md:1
self-improvement-protocol	2	2	.repo_studios/docs/standards/global/std-global-code-cleanup.md,.repo_studios/docs/standards/global/std-global-html-coding.md	.repo_studios/docs/standards/global/std-global-code-cleanup.md:72;.repo_studios/docs/standards/global/std-global-html-coding.md:97
success-criteria	2	2	.repo_studios/docs/playbooks/playbook-memory-refresh.md,.repo_studios/docs/standards/global/std-global-mission-parameters.md	.repo_studios/docs/playbooks/playbook-memory-refresh.md:72;.repo_studios/docs/standards/global/std-global-mission-parameters.md:103
1-record-structure	1	1	.repo_studios/docs/inventory_schema_spec.md	.repo_studios/docs/inventory_schema_spec.md:7
2-enumerations	1	1	.repo_studios/docs/inventory_schema_spec.md	.repo_studios/docs/inventory_schema_spec.md:33
3-dependency-block	1	1	.repo_studios/docs/inventory_schema_spec.md	.repo_studios/docs/inventory_schema_spec.md:79
4-notes-block	1	1	.repo_studios/docs/inventory_schema_spec.md	.repo_studios/docs/inventory_schema_spec.md:96
5-example-entry	1	1	.repo_studios/docs/inventory_schema_spec.md	.repo_studios/docs/inventory_schema_spec.md:111
6-validation-requirements	1	1	.repo_studios/docs/inventory_schema_spec.md	.repo_studios/docs/inventory_schema_spec.md:139
7-future-extensions	1	1	.repo_studios/docs/inventory_schema_spec.md	.repo_studios/docs/inventory_schema_spec.md:148
accessibility-a11y	1	1	.repo_studios/docs/standards/global/std-global-html-coding.md	.repo_studios/docs/standards/global/std-global-html-coding.md:59
action-items	1	1	.repo_studios/docs/inventory/inventory-notes.md	.repo_studios/docs/inventory/inventory-notes.md:68
actions	1	1	.repo_studios/docs/templates/agent_note_template.md	.repo_studios/docs/templates/agent_note_template.md:17
active-producer-consumer-pairings	1	1	.repo_studios/docs/automation/traceability/producer_consumer_traceability_audit.md	.repo_studios/docs/automation/traceability/producer_consumer_traceability_audit.md:18
add-to-dev-requirements	1	1	.repo_studios/docs/standards/project/std-project-python-instructions.md	.repo_studios/docs/standards/project/std-project-python-instructions.md:591
agent-note-template	1	1	.repo_studios/docs/templates/agent_note_template.md	.repo_studios/docs/templates/agent_note_template.md:1
aggregator-dependency-audit-draft-2025-11-24	1	1	.repo_studios/docs/automation/traceability/aggregator_dependency_audit.md	.repo_studios/docs/automation/traceability/aggregator_dependency_audit.md:1
ai-agent-compatibility	1	1	.repo_studios/docs/standards/global/std-global-html-coding.md	.repo_studios/docs/standards/global/std-global-html-coding.md:67
ai-ingestibility-requirements	1	1	.repo_studios/docs/standards/global/std-global-markdown-authoring.md	.repo_studios/docs/standards/global/std-global-markdown-authoring.md:65
alignment-considerations	1	1	.repo_studios/docs/automation/refactor_library_integration_notes.md	.repo_studios/docs/automation/refactor_library_integration_notes.md:46
alignment-with-repo-studios-orchestration	1	1	.repo_studios/docs/standards/global/std-global-chainlit-ui.md	.repo_studios/docs/standards/global/std-global-chainlit-ui.md:190
allowlist-format	1	1	.repo_studios/docs/automation/scan_code_placeholders.md	.repo_studios/docs/automation/scan_code_placeholders.md:65
analyze-monkey-patch-trends-modernization-plan-draft-2025-11-24	1	1	.repo_studios/docs/automation/traceability/analyze_monkey_patch_trends_modernization_plan.md	.repo_studios/docs/automation/traceability/analyze_monkey_patch_trends_modernization_plan.md:1
analyzetesthardeningpy	1	1	.repo_studios/docs/automation/analyze_test_hardening.md	.repo_studios/docs/automation/analyze_test_hardening.md:1
anchor-resolution	1	1	.repo_studios/docs/automation/standards-extraction-spec.md	.repo_studios/docs/automation/standards-extraction-spec.md:108
appendices	1	1	.repo_studios/docs/Repo_Studios_MOU_Strategic_Architecture.md	.repo_studios/docs/Repo_Studios_MOU_Strategic_Architecture.md:544
applies-to-guessing	1	1	.repo_studios/docs/automation/standards-extraction-spec.md	.repo_studios/docs/automation/standards-extraction-spec.md:85
approved-use-cases	1	1	.repo_studios/docs/standards/global/std-global-monkey-patching.md	.repo_studios/docs/standards/global/std-global-monkey-patching.md:58
artifact-overview	1	1	.repo_studios/docs/automation/function_analysis_guide.md	.repo_studios/docs/automation/function_analysis_guide.md:9
artifacts	1	1	.repo_studios/docs/automation/verify_docs_integrity.md	.repo_studios/docs/automation/verify_docs_integrity.md:32
async-and-api-guidance	1	1	.repo_studios/docs/standards/global/std-global-python-engineering.md	.repo_studios/docs/standards/global/std-global-python-engineering.md:85
async-patterns-and-cancellation	1	1	.repo_studios/docs/standards/global/std-global-chainlit-ui.md	.repo_studios/docs/standards/global/std-global-chainlit-ui.md:64
asynchrony-state	1	1	.repo_studios/docs/standards/global/std-global-javascript-engineering.md	.repo_studios/docs/standards/global/std-global-javascript-engineering.md:24
authoring-requirements	1	1	.repo_studios/docs/standards/global/std-global-monkey-patching.md	.repo_studios/docs/standards/global/std-global-monkey-patching.md:68
autofix-mismatched-hashes-and-skip-table-regeneration	1	1	.repo_studios/docs/automation/verify_docs_integrity.md	.repo_studios/docs/automation/verify_docs_integrity.md:19
automation-visibility	1	1	standards/project/std-project-operating-standard.md	standards/project/std-project-operating-standard.md:18
backward-compatibility	1	1	.repo_studios/docs/automation/standards-index-schema.md	.repo_studios/docs/automation/standards-index-schema.md:141
behavioral-standards	1	1	.repo_studios/docs/standards/project/std-project-operating-standard.md	.repo_studios/docs/standards/project/std-project-operating-standard.md:76
best-practices	1	1	.repo_studios/docs/standards/global/std-global-markdown-authoring.md	.repo_studios/docs/standards/global/std-global-markdown-authoring.md:73
builtin-constraints	1	1	standards/global/std-global-monkey-patching.md	standards/global/std-global-monkey-patching.md:12
candidate-detection	1	1	.repo_studios/docs/automation/standards-extraction-spec.md	.repo_studios/docs/automation/standards-extraction-spec.md:49
canonical-section-order	1	1	.repo_studios/docs/standards/global/std-global-markdown-authoring.md	.repo_studios/docs/standards/global/std-global-markdown-authoring.md:140
ci-consumption-patterns	1	1	.repo_studios/docs/inventory_reports.md	.repo_studios/docs/inventory_reports.md:32
ci-metrics-checks-for-inventory-reports	1	1	.repo_studios/docs/automation/ci_metrics_checks.md	.repo_studios/docs/automation/ci_metrics_checks.md:1
ci-ratcheting-runtime-guards	1	1	.repo_studios/docs/standards/global/std-global-monkey-patching.md	.repo_studios/docs/standards/global/std-global-monkey-patching.md:118
collaboration-protocol	1	1	.repo_studios/docs/playbooks/playbook-agent-operations.md	.repo_studios/docs/playbooks/playbook-agent-operations.md:88
collectfaulthandlerreportspy	1	1	.repo_studios/docs/automation/collect_faulthandler_reports.md	.repo_studios/docs/automation/collect_faulthandler_reports.md:1
collecttestlogreportspy	1	1	.repo_studios/docs/automation/collect_test_log_reports.md	.repo_studios/docs/automation/collect_test_log_reports.md:1
common-layout-patterns	1	1	.repo_studios/docs/standards/global/std-global-html-coding.md	.repo_studios/docs/standards/global/std-global-html-coding.md:80
completion-criteria	1	1	.repo_studios/docs/standards/global/std-global-code-cleanup.md	.repo_studios/docs/standards/global/std-global-code-cleanup.md:125
complexity-guardrails	1	1	.repo_studios/docs/standards/global/std-global-python-engineering.md	.repo_studios/docs/standards/global/std-global-python-engineering.md:226
