============================= test session starts ==============================
platform linux -- Python 3.13.5, pytest-8.4.1, pluggy-1.5.0 -- /home/founder/miniconda3/bin/python
cachedir: .pytest_cache
rootdir: /home/founder/jarvis2
configfile: pytest.ini
testpaths: tests, agents/interface/chainlit/tests, agents/core/autonomy/tests, .repo_studios/tests, agents/core/monitoring/metrics_storage/tests
plugins: anyio-4.9.0, cov-6.2.1, asyncio-1.1.0
asyncio: mode=Mode.STRICT, asyncio_default_fixture_loop_scope=None, asyncio_default_test_loop_scope=function
collecting ... collected 1259 items / 1 skipped

tests/agents/agent_instances/test_label_metrics_guard.py::test_label_metrics_emitted_within_threshold PASSED [  0%]
tests/agents/agent_instances/test_label_metrics_guard.py::test_label_metrics_suppressed_when_exceed_threshold PASSED [  0%]
tests/agents/agent_instances/test_metrics_exposition.py::test_builder_empty_flag_disabled PASSED [  0%]
tests/agents/agent_instances/test_metrics_exposition.py::test_builder_empty_flag_enabled PASSED [  0%]
tests/agents/agent_instances/test_metrics_exposition.py::test_builder_with_instances PASSED [  0%]
tests/agents/agent_instances/test_metrics_exposition.py::test_builder_emits_pruned_counter PASSED [  0%]
tests/agents/agent_instances/test_registry_prune.py::test_no_prune_when_flag_absent PASSED [  0%]
tests/agents/agent_instances/test_registry_prune.py::test_prune_removes_stale_instances PASSED [  0%]
tests/agents/agent_instances/test_registry_prune.py::test_prune_disabled_via_toggle PASSED [  0%]
tests/agents/agent_instances/test_rss_sampling.py::test_rss_sampling_disabled_by_default PASSED [  0%]
tests/agents/agent_instances/test_rss_sampling.py::test_rss_sampling_with_fake_reader PASSED [  0%]
tests/agents/agent_instances/test_rss_sampling.py::test_rss_sampling_failure_increments_counter PASSED [  0%]
tests/agents/benchmark/test_benchmark_agent_summary.py::test_compute_summary_and_mrp_artifacts PASSED [  1%]
tests/agents/benchmark/test_junit_parser.py::test_parse_junit_durations_extracts_times PASSED [  1%]
tests/agents/benchmark/test_junit_parser.py::test_p95_simple PASSED      [  1%]
tests/agents/benchmark/test_label_normalization.py::test_normalize_trims_parameters_and_preserves_keys PASSED [  1%]
tests/agents/benchmark/test_label_normalization.py::test_normalize_converts_backslashes_and_escapes_quotes PASSED [  1%]
tests/agents/benchmark/test_label_normalization.py::test_normalize_applies_hash_for_very_long_labels PASSED [  1%]
tests/agents/core/messaging/test_agent_topics_adapters.py::test_diagnostic_subscription_in_order PASSED [  1%]
tests/agents/core/messaging/test_agent_topics_adapters.py::test_category_overflow_drops_oldest PASSED [  1%]
tests/agents/core/messaging/test_agent_topics_adapters.py::test_category_selector_namespace_and_regex PASSED [  1%]
tests/agents/core/test_agent_template.py::test_agent_start_stop_and_metrics PASSED [  1%]
tests/agents/core/test_agent_template.py::test_ensure_eventbus_subscription_background PASSED [  1%]
tests/agents/core/test_agent_template.py::test_agent_error_metric_increments PASSED [  1%]
tests/agents/core/test_agent_template.py::test_agent_uses_mocked_event_bus PASSED [  1%]
tests/agents/core/test_agent_template.py::test_filter_resubscribe_via_ws_json_control SKIPPED [  2%]
tests/agents/core/test_context.py::test_init_ephemeral_idempotent PASSED [  2%]
tests/agents/core/test_context.py::test_get_state_store_lazy_init PASSED [  2%]
