file	line	category	import_base	intent	is_test	is_module_scope	code
.repo_studios\tools\validate_inventory.py	22	sys_modules_assignment		module injection/aliasing	false	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_aggregators\test_aggregate_docs_health_signals.py	18	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[name] = module
.repo_studios\tests\tests_aggregators\test_generate_churn_complexity_heatmap.py	20	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[name] = module
.repo_studios\tests\tests_command_center\test_artifacts.py	22	setattr_on_import_or_class		unspecified monkey patch	true	true	    monkeypatch.setattr(original_class, "hardlink_to", raiser)
.repo_studios\tests\tests_consumers\test_generate_anchor_health_report.py	21	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[name] = module
.repo_studios\tests\tests_consumers\test_generate_anchor_health_report.py	192	setattr_on_import_or_class		unspecified monkey patch	true	true	    monkeypatch.setattr(consumer_mod, "datetime", _FakeDatetime)
.repo_studios\tests\tests_consumers\test_generate_fault_artifacts.py	18	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[name] = module
.repo_studios\tests\tests_consumers\test_generate_fault_artifacts.py	188	setattr_on_import_or_class		unspecified monkey patch	true	true	    monkeypatch.setattr(consumer_mod, "datetime", _FakeDatetime)
.repo_studios\tests\tests_consumers\test_generate_test_log_health_report.py	18	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[name] = module
.repo_studios\tests\tests_consumers\test_generate_test_log_health_report.py	268	setattr_on_import_or_class		unspecified monkey patch	true	true	    monkeypatch.setattr(consumer_mod, "datetime", _FakeDatetime)
.repo_studios\tests\tests_orchestrators\test_command_center_pipeline.py	39	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[module_name] = module
.repo_studios\tests\tests_producers\test_analyze_standards_index_gaps.py	19	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_analyze_test_hardening.py	22	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_audit_helper_adoption.py	17	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_diff_standards_index.py	17	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_extract_standards_rules.py	15	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_function_inventory_integration.py	52	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[module_name] = module
.repo_studios\tests\tests_producers\test_generate_code_doc_churn_report.py	19	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[name] = module
.repo_studios\tests\tests_producers\test_generate_dependency_hygiene_report.py	15	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_generate_function_analysis.py	47	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_generate_function_inventory.py	29	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_generate_import_graph_report.py	15	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_generate_lizard_report.py	18	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
