path	line	pattern	snippet
.repo_studios/agent_notes/meta/phase1_foundation_review_2025-10-18_0138.md	1	REVIEW	# Phase 1 Foundation Review
.repo_studios/command_center/docs/guardrails/library_extraction_guardrails.md	89	REVIEW	## Review & Sign-off Process
.repo_studios/command_center/docs/guardrails/library_extraction_guardrails.md	106	NOTE	**Working response (2025-10-31):** Yes—link the lockfile state to a GitHub environment check so concurrent automation runs fail fast. Follow-up: reusable workflow documented in Implementation Note 7; next step is landing the CI file and wiring branch protection.
.repo_studios/command_center/docs/guardrails/library_extraction_guardrails.md	110	NOTE	**Working response (2025-10-31):** Cap automated refactors to 15 files per run while the allow-list remains the source of truth. Action item: `automation_config.yaml` now reserves `constraints.max_files_per_run`; implementation must wire the validator and manifest reporting per Implementation Note 8.
.repo_studios/command_center/docs/phase_4/PR_CHECKLIST_TEMPLATE.md	5	REVIEW	**Usage:** Copy the section below into any PR raised from a Phase 4 automation run, replacing the placeholder values before requesting review.
.repo_studios/command_center/docs/phase_4/PR_CHECKLIST_TEMPLATE.md	46	REVIEW	## Review Notes
.repo_studios/command_center/docs/phase_6/validation_runs/2025-11-04-bundle_review.md	1	REVIEW	# Validation Transcript – Bundle Review (2025-11-04)
.repo_studios/command_center/viewer/README.md	47	NOTE	**Note**: The server serves from repo root to enable access to `/.repo_studios/command_center/reports/`
.repo_studios/command_center/viewer/ui/builders/export_contract_matrix.js	84	NOTE	// Add note with module details
.repo_studios/command_center/viewer/ui/viewer.js	9813	NOTE	// Note: moving up (negative delta) should increase height
.repo_studios/docs/automation/function_inventory_integration_plan.md	34	REVIEW	* [x] Capture JSON schema expectations (fields, types, `schema_version`) and circulate for review. _(2025-10-24: v1 schema refreshed to document signatures, line counts, and module-first-line metadata.)_
.repo_studios/docs/automation/function_inventory_integration_plan.md	63	REVIEW	* [x] Specify companion artifact schema (`schema_version`, provenance metadata, `findings[]`, severities, recommended actions, machine-readable action items) and circulate for review. _(Schema captured 2025-10-24 with `findings[].instances[]` including signatures, line counts, docstrings.)_
.repo_studios/docs/automation/function_inventory_integration_plan.md	73	NOTE	* [ ] Add integration tests that generate indices for curated fixtures (empty dirs, nested trees, syntax-error files, large modules). _(Initial round-trip test added in `.repo_studios/tests/tests_producers/test_function_inventory_integration.py`; dependency note: `jsonschema` already pinned so payload validation can run once fixture matrix expands.)_
.repo_studios/docs/automation/function_inventory_integration_plan.md	108	REVIEW	* [ ] Run pilot generation on `.repo_studios/scripts/producers/` and review output for accuracy and performance.
.repo_studios/docs/automation/function_inventory_integration_plan.md	111	REVIEW	* [ ] Schedule post-integration review to assess adoption, gather feedback, and plan future enhancements (additional analyses, cross-folder rollups, API hooks).
.repo_studios/docs/automation/function_inventory_integration_plan.md	125	REVIEW	* Ownership sits with the Repo Studios team, with plans to surface timestamps in JSON so review cycles can track freshness.
.repo_studios/docs/templates/agent_note_template.md	1	NOTE	# Agent Note Template
.repo_studios/docs/templates/integration_alignment_template.md	67	REVIEW	* [ ] **Review orchestrator impacts** if integrating with existing remediation suites *(Owner → analysis).*
.repo_studios/scripts/orchestrators/run_pytest_log_capture.py	172	NOTE	# Note idle but avoid sending signals that may terminate pytest
.repo_studios/scripts/producers/extract_standards_rules.py	178	NOTE	# Ignore silently (could add error note in future)
.repo_studios/scripts/script_inventory_architecture.md	128	REVIEW	**Status Update (2025-11-23):** Completed the producer testing reference audit, documentation refresh (validate_markdown_anchors), extraction consumer audit, placeholder remediation plan drafting (see `.repo_studios/command_center/docs/phase_7/PLACEHOLDER_DEBT_PLAN.md`), top offender cataloging, owner outreach + allowlist guidance publication, and the shipped scanner exclusions with matching docs/tests; next up is seeding the allowlist, logging the first post-exclusion baseline, and restarting weekly burn-down tracking ahead of the CI gating review.
