category	metric	status	score	value
freshness	modules_with_code_churn	critical	33.33	3
freshness	modules_with_doc_updates	critical	33.33	1
freshness	modules_without_doc_updates	critical	33.33	2
freshness	allowlisted_modules	critical	33.33	[]
coverage	modules_scanned	critical	17.47	84
coverage	modules_with_findings	critical	17.47	68
coverage	entities_scanned	critical	17.47	893
coverage	entities_missing_docs	critical	17.47	737
coverage	docstring_coverage_percent	critical	17.47	17.47
structure	total_documents	critical	36.84	139
structure	documents_missing_h1	critical	36.84	7
structure	documents_missing_h2	critical	36.84	3
structure	documents_with_cross_file_duplicates	critical	36.84	110
structure	documents_with_repeated_anchors	critical	36.84	0
structure	cross_file_duplicates	critical	36.84	78
structure	total_slugs	critical	36.84	749
structure	anchor_validation_issue_count	critical	36.84	0
structure	anchor_validation_status	critical	36.84	ok
integrity	docs_integrity_status	healthy	100.00	ok
integrity	mismatched_blocks	healthy	100.00	0
integrity	json_blocks_checked	healthy	100.00	2
integrity	documents_processed	healthy	100.00	1
integrity	missing_metrics_stubs	healthy	100.00	0
integrity	anchors_referenced	healthy	100.00	0
hygiene	placeholder_total_matches	critical	45.00	3
hygiene	placeholder_status	critical	45.00	ok
hygiene	monkey_patch_total_findings	critical	45.00	119
hygiene	monkey_patch_status	critical	45.00	ok
