module	entity_type	qualified_name	line	reason
.repo_studios/scripts/producers/scan_monkey_patches.py	class	.repo_studios.scripts.producers.scan_monkey_patches.Paths	144	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	class	.repo_studios.scripts.producers.scan_monkey_patches.Options	151	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	class	.repo_studios.scripts.producers.scan_monkey_patches.ScanOptions	156	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	class	.repo_studios.scripts.producers.scan_monkey_patches.Finding	167	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.Finding.to_dict	184	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.ImportResolver.__init__	217	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.ImportResolver.visit_Import	222	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.ImportResolver.visit_ImportFrom	230	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.ScopeTracker.__init__	244	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.ScopeTracker.current	247	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.ScopeTracker.visit_FunctionDef	257	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.ScopeTracker.visit_AsyncFunctionDef	262	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.ScopeTracker.visit_ClassDef	267	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.read_lines	273	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.get_context	280	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.get_nearby_comment	287	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.is_path_in_tests	306	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.top_level_packages_default	315	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.base_module_name	334	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.dotted_name_from_attribute	340	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.is_alias_external	353	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.classify_intent	362	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	function	.repo_studios.scripts.producers.scan_monkey_patches.add_git_blame	380	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	class	.repo_studios.scripts.producers.scan_monkey_patches.MonkeyPatchScanner	418	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.MonkeyPatchScanner.__init__	419	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.MonkeyPatchScanner.generic_visit	438	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.MonkeyPatchScanner.visit_Assign	446	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.MonkeyPatchScanner.visit_AnnAssign	450	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.MonkeyPatchScanner.visit_AugAssign	454	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.MonkeyPatchScanner.visit_Call	458	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.MonkeyPatchScanner.visit_Delete	520	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.MonkeyPatchScanner.visit_FunctionDef	535	missing docstring
.repo_studios/scripts/producers/scan_monkey_patches.py	method	.repo_studios.scripts.producers.scan_monkey_patches.MonkeyPatchScanner.visit_ClassDef	551	missing docstring
